transaction_id,product_id,price 
1001,1,5.95
1002,2,6.95
1003,3,7.95
1004,4,8.95
1005,5,9.95
1006,6,10.95
1007,7,11.95
1008,8,12.95
1009,9,13.95
1010,10,14.95
1011,11,15.95
1012,12,16.95
1013,13,17.95
1014,14,18.95
1015,15,19.95
1016,16,20.95
1017,17,21.95
1018,18,22.95
1019,19,23.95
1020,20,24.95
1021,21,25.95
1022,22,26.95
1023,23,27.95
1024,24,28.95
1025,25,29.95
1026,26,30.95
1027,27,31.95
1028,28,32.95
1029,29,33.95
1030,30,34.95
1031,31,35.95
1032,32,36.95
1033,33,37.95
1034,34,38.95
1035,35,39.95
1036,36,40.95
1037,37,41.95
1038,38,42.95
1039,39,43.95
1040,40,44.95
1041,41,45.95
1042,42,46.95
1043,43,47.95
1044,44,48.95
1045,45,49.95
1046,46,50.95
1047,47,51.95
1048,48,52.95
1049,49,53.95
1050,50,54.95
1051,51,55.95
1052,52,56.95
1053,53,57.95
1054,54,58.95
1055,55,59.95
1056,56,60.95
1057,57,61.95
1058,58,62.95
1059,59,63.95
1060,60,64.95
1061,61,65.95
1062,62,66.95
1063,63,67.95
1064,64,68.95
1065,65,69.95
1066,66,70.95
1067,67,71.95
1068,68,72.95
1069,69,73.95
1070,70,74.95
1071,71,75.95
1072,72,76.95
1073,73,77.95
1074,74,78.95
1075,75,79.95
1076,76,80.95
1077,77,81.95
1078,78,82.95
1079,79,83.95
1080,80,84.95
1081,81,85.95
1082,82,86.95
1083,83,87.95
1084,84,88.95
1085,85,89.95
1086,86,90.95
1087,87,91.95
1088,88,92.95
1089,89,93.95
1090,90,94.95
1091,91,95.95
1092,92,96.95
1093,93,97.95
1094,94,98.95
1095,95,99.95
1096,96,100.95
1097,97,101.95
1098,98,102.95
1099,99,103.95
1100,100,104.95
1101,101,105.95
1102,102,106.95
1103,103,107.95
1104,104,108.95
1105,105,109.95
1106,106,110.95
1107,107,111.95
1108,108,112.95
1109,109,113.95
1110,110,114.95
1111,111,115.95
1112,112,116.95
1113,113,117.95
1114,114,118.95
1115,115,119.95
1116,116,120.95
1117,117,121.95
1118,118,122.95
1119,119,123.95
1120,120,124.95
1121,121,125.95
1122,122,126.95
1123,123,127.95
1124,124,128.95
1125,125,129.95
1126,126,130.95
1127,127,131.95
1128,128,132.95
1129,129,133.95
1130,130,134.95
1131,131,135.95
1132,132,136.95
1133,133,137.95
1134,134,138.95
1135,135,139.95
1136,136,140.95
1137,137,141.95
1138,138,142.95
1139,139,143.95
1140,140,144.95
1141,141,145.95
1142,142,146.95
1143,143,147.95
1144,144,148.95
1145,145,149.95
1146,146,150.95
1147,147,151.95
1148,148,152.95
1149,149,153.95
